response_id,vignette_id,unit,title,setting,condition,block,model,A_accuracy,A_adaptation,A_actionable,A_cultural,B_accuracy,B_adaptation,B_actionable,B_cultural,C_accuracy,C_adaptation,C_actionable,C_cultural,final_accuracy,final_adaptation,final_actionable,final_cultural,final_total,needs_adjudication,total_diff,A_notes,B_notes,C_notes,adjudication_notes
R0085,M01,,,A,1,1,LLaMA-3-70B,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,2.0,2.0,1.0,6.0,False,0.0,O - IV fluids preferred and 4.5 ,"O - Consider hydroxyurea, no limb x-ray reuested for differntials(It is a teaching hospital). What IV fluid?",,
R0166,M01,,,C,1,1,LLaMA-3-70B,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,,,,,1.5,1.0,1.5,0.0,4.0,False,0.0,C- blood transfusion unlikely done in phc,O - tramadol only opioid mentioned? Where went morphine and pentazocine?. Need for hematologist referral,,
R0208,M01,,,C,1,1,Claude-Sonnet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,4.0,False,0.0,"C - most drugs not available , labs not present, NS not preferred fluid",C - paracetamol as adjunct?,,
R0255,M01,,,A,1,1,Gemini-Flash,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.5,2.0,2.0,1.0,6.5,False,1.0,,O - IV fluids at least 1.5 maintenance,,
R0292,M01,,,A,1,1,GPT-4o-mini,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,2.0,1.5,1.0,5.5,False,1.0,,Oral morphine given usually instead of IV here.,,
R0149,M02,,,B,1,1,Claude-Sonnet,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,0.0,1.0,1.0,1.0,3.0,False,0.0,"C- may not be available
C - morphine dangerous",C - morphine no longer routinely indicated. Isorbide dinitrate def not available. Investigations not all available,,
R0191,M02,,,A,2,1,LLaMA-3-70B,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,,,,,1.0,2.0,1.0,0.0,4.0,False,0.0,O - needs high dose furosemide definitely,"O - did not position patient, ",,
R0196,M02,,,C,2,1,Claude-Sonnet,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,2.0,2.0,1.5,1.0,6.5,False,1.0,,,,
R0217,M02,,,C,2,1,GPT-4o-mini,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,5.0,False,0.0,"C - more immediate referral
C - no O2",C - non rebreather mask might be unavailable,,
R0236,M02,,,C,2,1,Gemini-Flash,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,1.5,1.5,1.0,0.5,4.5,False,1.0,,C - GTN unavailable,,
R0250,M02,,,A,2,1,Gemini-Flash,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,6.0,False,0.0,,,,
R0283,M02,,,C,1,1,Claude-Sonnet,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,5.0,False,0.0,,,,
R0057,M03,,,A,1,1,Gemini-Flash,1.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,,,,,1.5,2.0,1.5,0.0,5.0,False,0.0,C - sliding scale insulin? admission to ICU may not yet be warranted,"C - siding scale insulin not routine, use debatable",,
R0152,M03,,,A,2,1,LLaMA-3-70B,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.5,2.0,2.0,0.0,5.5,False,1.0,,,,
R0156,M03,,,A,1,1,LLaMA-3-70B,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.5,2.0,2.0,1.0,6.5,False,1.0,,O - no inotropic support,,
R0162,M03,,,B,1,1,Claude-Sonnet,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,,,,,2.0,0.5,1.0,1.0,4.5,False,1.0,,,,
R0230,M03,,,C,1,1,GPT-4o-mini,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,,,,,2.0,0.0,1.0,0.0,3.0,False,0.0,,C - piperacillin-tazobactam and insulin unavailable at PHC,,
R0247,M03,,,B,1,1,Gemini-Flash,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.5,0.0,1.5,False,1.0,,,,
R0021,M04,,,A,1,1,LLaMA-3-70B,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,,,,,1.0,1.5,1.0,0.5,4.0,False,0.0,,"O - vague fluid correction details, surgery not mentioned, basic investigation (abd USS) not mentioned",,
R0083,M04,,,A,1,1,Gemini-Flash,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.5,2.0,2.0,1.0,6.5,False,1.0,,,,
R0211,M04,,,C,1,1,GPT-4o-mini,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.5,1.0,1.0,3.5,False,1.0,"O - labs not complete, not available in phc",,,
R0291,M04,,,B,1,1,GPT-4o-mini,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,1.0,0.5,1.0,0.0,2.5,False,1.0,O - abd uss or xray to investigate perforation,"C - unvailable investigations, no NPO",,
R0006,M05,,,C,2,1,LLaMA-3-70B,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.0,2.0,2.0,0.0,5.0,False,0.0,,,,
R0029,M05,,,B,1,1,LLaMA-3-70B,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.5,1.0,1.0,1.0,4.5,False,1.0,,,,
R0173,M05,,,C,1,1,GPT-4o-mini,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,,,,,2.0,1.0,0.0,1.0,4.0,False,0.0,,No oxygen. 'consider' referral,,
R0272,M05,,,A,1,1,Gemini-Flash,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.5,2.0,2.0,1.0,6.5,False,1.0,,,,
R0008,M06,,,B,1,1,Gemini-Flash,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,2.0,1.0,2.0,1.0,6.0,False,0.0,,O - no recommendations; C - unavailable investigation,,
R0016,M06,,,C,1,1,Claude-Sonnet,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,2.0,1.0,2.0,1.0,6.0,False,0.0,,,,
R0026,M07,,,A,1,1,LLaMA-3-70B,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,,,,,0.5,1.0,1.0,1.0,3.5,False,1.0,,O - no IV dextrose?? no specifics on what to do for different blood glucose values,,
R0078,M07,,,A,1,1,GPT-4o-mini,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,,,,,0.5,2.0,0.0,1.0,3.5,False,1.0,C - no dilution,C - Did not dilute glucose,,
R0153,M07,,,A,1,1,Gemini-Flash,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,4.0,False,0.0,"C - no dilution
C - 20% dextrose is always readily available
",C - 50% dextrose not 20%,,
R0160,M07,,,B,1,1,Claude-Sonnet,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,0.5,1.0,0.5,1.0,3.0,False,0.0,C - no dilution,C - Did not dilute glucose,,
R0178,M07,,,B,1,1,LLaMA-3-70B,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,5.0,False,0.0,"O - may not be able to swallow, then what?",,,
R0195,M07,,,B,1,1,Gemini-Flash,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,2.0,2.0,1.0,6.0,False,0.0,,,,
R0002,M08,,,A,1,1,GPT-4o-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,4.0,False,0.0,,,,
R0068,M08,,,A,1,1,Gemini-Flash,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.5,2.0,1.0,1.0,5.5,False,1.0,,,,
R0170,M08,,,C,1,1,Claude-Sonnet,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,,1.0,1.0,0.0,1.0,3.0,False,0.0,C - refer immediately,,,
R0275,M08,,,B,1,1,Claude-Sonnet,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,0.5,1.0,1.0,3.5,False,1.0,,,,
R0031,M09,,,A,1,1,Claude-Sonnet,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,,,,,2.0,1.0,2.0,0.0,5.0,False,0.0,,,,
R0134,M09,,,B,1,1,Claude-Sonnet,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,,,,,2.0,1.5,1.0,0.5,5.0,False,0.0,,,,
R0229,M09,,,A,1,1,GPT-4o-mini,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,0.5,1.0,3.5,False,1.0,,"C -No urgency, no isolation, no VHF protocol initiated",,
R0012,M10,,,C,1,1,LLaMA-3-70B,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,1.0,1.0,1.0,0.0,3.0,False,0.0,,"O,C",,
R0128,M10,,,A,2,1,LLaMA-3-70B,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.0,2.0,2.0,0.0,5.0,False,0.0,,"O - no EEG request, no RBS, electrolytes, or sepsis workup",,
R0133,M10,,,A,1,1,Claude-Sonnet,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,1.5,2.0,1.0,1.0,5.5,False,1.0,,,,
R0189,M10,,,C,2,1,Gemini-Flash,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,,,,,1.5,1.5,2.0,0.0,5.0,False,0.0,"O - temperature, ng tube",,,
R0234,M10,,,A,2,1,GPT-4o-mini,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,2.0,2.0,1.0,6.0,False,0.0,,"C - Diazepam not mentioned, ""consider"" lumbar puncture?",,
R0010,M11,,,A,2,1,Claude-Sonnet,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,2.0,2.0,1.0,6.0,False,0.0,,C - Why mention labetalol Will crash BP,,
R0107,M11,,,C,1,1,Gemini-Flash,1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,,,1.5,2.0,2.0,0.0,5.5,False,1.0,,,,
R0210,M11,,,C,2,1,Gemini-Flash,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.5,2.0,2.0,0.0,5.5,False,1.0,,C - nothing done for the hypertension,,
R0232,M11,,,A,2,1,GPT-4o-mini,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,,,,,0.0,2.0,0.0,1.0,3.0,False,0.0,,C - initiate anticoagulation before CT scan??,,
R0256,M11,,,B,1,1,GPT-4o-mini,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,1.0,2.0,False,0.0,,C - low target bp,,
R0025,M12,,,B,1,1,Claude-Sonnet,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.5,1.0,1.0,1.0,4.5,False,1.0,O - consideration investigations may not be possible especially dialysis which may be necessary,,,
R0174,M12,,,A,1,1,Gemini-Flash,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.5,2.0,2.0,0.0,5.5,False,1.0,,,,
R0187,M12,,,A,1,1,LLaMA-3-70B,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,,,,,1.5,1.5,1.5,0.0,4.5,False,1.0,"C - TH is the at the top of capabilities, referring to where?",,,
R0223,M12,,,B,1,1,LLaMA-3-70B,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,1.5,1.0,1.0,0.0,3.5,False,1.0,O - consideration investigations may not be possible especially dialysis which may be necessary,,,
R0248,M12,,,C,1,1,GPT-4o-mini,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.5,1.0,1.0,1.0,4.5,False,1.0,C - investiagations and monitoring which wont be available in a PHC,,,
R0279,M12,,,C,1,1,Gemini-Flash,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,,,,,2.0,1.0,1.0,0.0,4.0,False,0.0,C - investiagations and monitoring which wont be available in a PHC,,,
R0074,M13,,,B,1,1,Gemini-Flash,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,,,,,1.5,1.0,1.0,0.5,4.0,False,0.0,"C - paracentesis is often not US guided
some investigations may not be available",,,
