response_id,prompt_id,vignette_id,setting,condition,model,facility,block,primary_scorer,secondary_scorer,system_prompt,user_prompt,response,tokens_approx,call_timestamp,duration_s,error
R0001,P0002,M01,A,1,Claude-Sonnet,Teaching hospital Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth","# Management Plan: Sickle Cell Vaso-Occlusive Crisis (VOC)

## Immediate Assessment
- **Working Diagnosis:** Acute painful vaso-occlusive crisis (moderate-severe)
- Obtain IV access; collect FBC, reticulocyte count, blood film, LFTs, urea/electrolytes, blood group and crossmatch, urinalysis

---

## Acute Pain Management
- **Paracetamol** 1g IV/oral every 6 hours (scheduled)
- **Ibuprofen** 400mg oral every 8 hours with food (if no contraindication)
- **Dihydrocodeine** or **Tramadol** 50mg oral/IV every 6–8 hours for moderate-severe breakthrough pain
- Reassess pain score every 30–60 minutes; escalate analgesia stepwise per WHO ladder
- Avoid IM injections

---

## Hydration
- **IV Normal Saline** 0.9% at maintenance rate (~2–2.5L/m²/day)
- Encourage oral fluids; monitor intake/output

---

## Supportive Care
- Supplemental oxygen only if SpO₂ drops below 95%
- Keep patient **warm** — warm blankets, avoid cold environment
- Elevate painful limbs; gentle physiotherapy when pain subsides

---

## Monitoring
- Vital signs every 4 hours; watch for fever, chest signs (acute chest syndrome), priapism, neurological changes
- Daily FBC, reticulocyte count

---

## Preventive/Chronic Management
- **Restart Hydroxyurea** (upon discharge) — dose per weight
- **Folic acid** 5mg daily
- **Penicillin V** prophylaxis
- Reinforce compliance, cold avoidance, hydration, and clinic follow-up

---

## Indications for Escalation
- Fever, hypoxia, chest signs → consider acute chest syndrome protocol and transfusion",280,2026-06-02T23:19:31.183144,11.96,
R0002,P0006,M01,B,1,Claude-Sonnet,"General hospital , Abia State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital , Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth","# Management Plan: Sickle Cell Vaso-Occlusive Crisis (VOC)

## Diagnosis
Moderate-to-severe vaso-occlusive (painful) crisis in a known HbSS patient, likely precipitated by cold exposure and medication non-adherence.

---

## Immediate Management

**Admit to the ward**

### Analgesia (WHO Pain Ladder – Step 3)
- **Morphine** 0.1 mg/kg IV/SC every 4 hours (titrate to pain score)
- **Diclofenac** 1 mg/kg oral/rectal 8-hourly (if no contraindication)
- **Paracetamol** 500 mg oral/IV 6-hourly (adjunct)
- Reassess pain score every 30–60 minutes

### Hydration
- IV fluids: **Normal saline 0.9%** at 1.5× maintenance rate
- Encourage oral fluids if tolerated
- Monitor fluid balance strictly (urine output ≥1 ml/kg/hr)

### Oxygen
- Maintain SpO₂ ≥95%; currently 98% on room air — monitor closely
- Supplemental oxygen only if SpO₂ drops

---

## Investigations
- **FBC, reticulocyte count, blood film**
- **LFTs, bilirubin (direct/indirect), LDH**
- **Blood culture** (though afebrile, baseline)
- **Urinalysis**
- **Chest X-ray** (exclude acute chest syndrome)
- **Genotype confirmation** if records unavailable

---

## Restart Maintenance Medications
- **Hydroxyurea** (age/weight-appropriate dosing)
- **Folic acid** 5 mg daily
- **Penicillin V** prophylaxis

---

## Monitoring
- Vital signs 2–4 hourly
- Watch for acute chest syndrome, neurological changes, priapism, fever

---

## Patient/Family Education
- Avoid cold exposure; warm clothing at night
- Medication adherence counselling
- Hydration importance
- Follow-up at sickle cell clinic",290,2026-06-02T23:19:43.834796,11.45,
R0003,P0010,M01,C,1,Claude-Sonnet,Primary health care centre in Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary health care centre in Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth","# Management Plan: Sickle Cell Vaso-Occlusive Crisis (VOC)

## Immediate Assessment & Stabilization
- Establish IV access; collect blood for **FBC, reticulocyte count, blood grouping/crossmatch, LFTs, urinalysis**
- Document baseline observations on monitoring chart
- Reassess SpO₂ continuously — **supplemental oxygen NOT routinely indicated** (SpO₂ 98%)

---

## Pain Management (Priority)
- **Ibuprofen** 400mg orally (with food) as NSAID foundation — if no contraindications
- **Tramadol** 50–100mg IV/oral for moderate-severe pain (VAS 8/10)
- Consider **Paracetamol** 1g IV/oral as adjunct (4–6 hourly)
- Reassess pain score every 30–60 minutes; escalate if uncontrolled
- Avoid pethidine (norpethidine toxicity risk)

---

## Hydration
- **IV Normal Saline** 0.9% at 1.5× maintenance rate (approximately 2–2.5 L/24hrs)
- Encourage **oral fluids** if tolerated
- Monitor urine output

---

## Precipitant Management & General Care
- Warm blankets/warm environment; avoid further cold exposure
- Admit to ward for monitoring

---

## Medications
- **Resume Hydroxyurea** — counsel on adherence; arrange prescription refill
- **Folic acid** 5mg daily
- **Penicillin V** prophylaxis if not already established

---

## Monitoring & Safety-Netting
- Watch for **acute chest syndrome** (fever, respiratory distress, falling SpO₂) — escalate/refer urgently if develops
- Monitor for priapism, neurological changes
- **Refer to secondary/tertiary facility** if inadequate pain control, deterioration, or complications arise

---

## Counselling
- Educate patient/family on precipitants, medication adherence, and early presentation",290,2026-06-02T23:19:57.146611,12.11,
R0004,P0014,M02,A,1,Claude-Sonnet,Teaching hospital Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged","# Management Plan: Acute Decompensated Heart Failure (Hypertensive Pulmonary Oedema)

## Immediate Resuscitation (First 30-60 Minutes)

**Airway/Breathing:**
- Sit patient upright at 45°
- High-flow oxygen via non-rebreather mask; target SpO₂ ≥94%
- Prepare for Non-Invasive Ventilation (CPAP) if available; if SpO₂ fails to improve
- Have intubation equipment on standby

**Circulation:**
- Secure IV access (two large-bore cannulae)
- Cardiac monitor and continuous pulse oximetry

---

## Pharmacological Management

**Diuresis:**
- IV Furosemide 40–80 mg stat; repeat/infuse as needed; monitor urine output hourly

**Vasodilation (BP reduction):**
- IV/sublingual Isosorbide Dinitrate (GTN) if available — reduces preload/afterload
- Avoid aggressive BP reduction; target ~25% reduction in mean arterial pressure over first hour
- Oral Amlodipine reinitiated; consider adding Lisinopril 2.5–5 mg once stabilised

**Avoid:**
- Beta-blockers acutely (HR 112, decompensated state)
- Fluid challenge

---

## Investigations

- Urgent ECG, CXR (portable)
- FBC, U&E/Creatinine, BUN, LFT, RBS
- Troponin I/T, BNP (if available)
- Arterial Blood Gas
- Echocardiography (elective, within 48 hours)

---

## Monitoring

- Strict fluid balance; urine output >0.5 mL/kg/hr
- 2-hourly BP, HR, RR, SpO₂
- Daily weight and electrolytes

---

## Subsequent Management

- Optimise heart failure therapy: ACE inhibitor, beta-blocker (once euvolaemic), spironolactone
- Strict antihypertensive compliance counselling
- Cardiology referral for outpatient follow-up and echocardiographic assessment",280,2026-06-02T23:20:11.378907,13.03,
R0005,P0018,M02,A,2,Claude-Sonnet,Teaching hospital Ondo State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital Ondo State Nigeria which has IV fluids: Normal saline, half strength saline
IV paracetamol
Tabs panadol
IV furosemide, torsemide
Specialist","A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged","## Management Plan: Acute Decompensated Heart Failure (Hypertensive Emergency)

### Immediate Stabilization
- **Sit patient upright** (high Fowler's position)
- **High-flow oxygen** via face mask 10–15 L/min targeting SpO₂ ≥94%
- Establish **IV access** (2 large-bore cannulae)
- Continuous cardiac monitoring and pulse oximetry
- **Urinary catheterization** for strict fluid balance monitoring

### Investigations (Urgent)
- 12-lead ECG
- CXR (portable)
- FBC, electrolytes, urea, creatinine, random blood glucose
- Cardiac enzymes (troponin)
- Urinalysis

### Pharmacological Management

**Diuresis (Priority):**
- **IV Furosemide 80 mg stat**, then reassess response at 1–2 hours
- Repeat furosemide 40–80 mg IV if inadequate urine output

**Blood Pressure Control:**
- Resume **Amlodipine 10 mg orally** once stable
- Target gradual BP reduction (avoid >25% reduction in first hour)

**Analgesia/Comfort:**
- **IV Paracetamol 1g** 8-hourly if febrile or distressed

### Monitoring
- SpO₂, RR, BP, HR every 30 minutes initially
- Urine output hourly (target >0.5 mL/kg/hr)
- Renal function and electrolytes at 6–12 hours (furosemide monitoring)

### Fluid Restriction
- Restrict IV fluids strictly; **Normal saline only if essential** (avoid fluid loading)

### Specialist Referral
- **Urgent Cardiology/Internal Medicine specialist review**
- Consider need for non-invasive ventilation (CPAP/BiPAP) if SpO₂ remains poor

### Patient Education
- Emphasize **medication compliance** on discharge",269,2026-06-02T23:20:23.974576,11.39,
R0006,P0022,M02,B,1,Claude-Sonnet,"General hospital, Ondo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged","# Management Plan: Acute Decompensated Heart Failure (Hypertensive Pulmonary Oedema)

## Immediate Resuscitation (First 30–60 minutes)

**Positioning & Oxygenation**
- Sit patient upright (high Fowler's position)
- Administer high-flow oxygen via non-rebreather mask (10–15 L/min) targeting SpO₂ ≥94%
- Establish IV access × 2; attach cardiac monitor and pulse oximetry

**Pharmacological Management**
- **IV Furosemide** 80 mg stat (double usual dose; patient not on diuretic), then reassess urine output at 1 hour
- **IV/SL Nitrates** – Isosorbide dinitrate 5 mg sublingual stat (if SBP >110 mmHg); repeat every 5–10 minutes × 3 doses for afterload/preload reduction
- **Morphine** 2–4 mg IV slowly (anxiolysis, venodilation) – use cautiously, monitor respiratory depression
- **Strict fluid restriction** – 500–1000 mL/24 hours; insert urethral catheter and monitor urine output hourly

## Blood Pressure Control
- Target gradual SBP reduction (~25% within first hour)
- Resume/intensify antihypertensive: **Amlodipine** 10 mg daily; consider adding **IV Labetalol** or **oral Lisinopril** once stabilized

## Investigations
- FBC, U&E/Creatinine, Blood glucose, Cardiac enzymes (Troponin)
- 12-lead ECG, Chest X-ray (portable)
- Echocardiography (elective, to assess EF and structural cause)

## Monitoring & Escalation
- Hourly vitals, SpO₂, urine output
- If SpO₂ fails to improve → consider CPAP/NIV (if available) or ICU escalation
- Reassess for intubation if deteriorating

## Disposition
Admit to **CCU/HDU**; cardiology review; patient education on medication compliance at discharge.",291,2026-06-02T23:20:37.387226,12.21,
R0007,P0026,M02,C,1,Claude-Sonnet,Primary healthcare centre in Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre in Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged","# Management Plan: Acute Pulmonary Oedema (Hypertensive Heart Failure)

## Immediate Stabilisation
- Sit patient upright (high Fowler's position)
- Administer **oxygen** via face mask at 10–15 L/min targeting SpO₂ ≥94%
- Establish IV access; attach cardiac monitor
- Insert urinary catheter to monitor urine output hourly

## Pharmacological Management
**Diuresis:**
- IV **Furosemide 40–80 mg** stat (repeat 40 mg after 1 hour if inadequate response)
- Monitor urine output — expect brisk diuresis within 30–60 minutes

**Vasodilation/BP Control:**
- Sublingual **Nifedipine 10 mg** (if IV nitrates unavailable) or
- Oral **Amlodipine 10 mg** immediately to restart antihypertensive therapy
- Target BP reduction of ~25% within first hour — avoid rapid overcorrection

**Anxiolysis (if agitated):**
- Low-dose **Morphine 2–4 mg IV** cautiously if available (monitor respiratory depression)

## Investigations
- FBC, serum electrolytes, urea, creatinine
- Urinalysis
- ECG
- Chest X-ray (if available at PHC)
- Random blood glucose

## Monitoring
- SpO₂, BP, HR, RR — every 15–30 minutes
- Strict fluid balance chart

## Referral
- **Urgent referral** to secondary/tertiary facility (FUTA Teaching Hospital or State Specialist Hospital, Akure) with stabilisation first
- Provide referral letter with clinical summary, medications given, and monitoring records

## Patient Education (Post-stabilisation)
- Counsel on strict medication adherence
- Dietary sodium restriction
- Compliance follow-up plan",280,2026-06-02T23:20:49.652903,11.06,
R0008,P0030,M02,C,2,Claude-Sonnet,Primary healthcare centre in Ondo State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre in Ondo State Nigeria which has IV fluids: Normal saline, half strength saline
IV paracetamol
Tabs panadol","A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged","## Management Plan: Acute Pulmonary Oedema (Hypertensive Heart Failure)

### Immediate Stabilisation (First 30 Minutes)

**Positioning & Oxygenation**
- Sit patient upright (high Fowler's position)
- Administer high-flow oxygen via face mask (10–15 L/min) targeting SpO₂ ≥94%
- Establish IV access (two large-bore cannulae)

**Emergency Referral**
- Initiate **urgent transfer to secondary/tertiary facility** immediately — patient requires furosemide IV, GTN infusion, and possible ICU care not available at this centre
- Contact receiving hospital before transfer
- Ensure oxygen and monitoring during transfer

### Supportive Treatment While Awaiting/During Transfer

**Fluids**
- **Restrict IV fluids** — this patient is fluid-overloaded; avoid Normal saline or Half-strength saline infusion
- Maintain IV access (keep-vein-open only if necessary for drug administration)

**Analgesia/Antipyretic**
- IV Paracetamol not indicated currently; avoid unnecessary medications

**Antihypertensive**
- Restart **Amlodipine 10mg orally** immediately if patient can swallow safely
- Document BP response every 15–30 minutes

### Monitoring
- Continuous SpO₂, HR, BP, RR every 15 minutes
- Document urine output if possible

### Documentation for Referral
- Summary letter including: vitals, clinical findings, current medications, suspected diagnosis (hypertensive acute pulmonary oedema)

### Patient/Caregiver Counselling
- Explain the seriousness of the condition
- Emphasise strict medication compliance post-discharge

> ⚠️ **This patient is critically ill. Definitive management (IV furosemide, nitrates, monitoring) must occur at a higher facility without delay.**",285,2026-06-02T23:21:02.475206,11.62,
R0009,P0034,M03,A,1,Claude-Sonnet,Teaching Hospital Oyo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching Hospital Oyo State Nigeria.

An 80-year-old female is brought in by family members on account of reduced responsiveness of 2 days duration and decreased mobility over the past 2 years. Family reports she has been increasingly confused, and refusing to eat over the last 48 hours. They also note multiple wounds over her buttocks that have been present for approximately 3 months and are worsening. There is no history of trauma, seizures, or recent urinary tract symptoms. She is a known hypertensive and type 2 diabetic, previously on amlodipine, and metformin, but not regular. On examination: An elderly woman, cachectic, febrile,  unresponsive to commands GCS(9/15) (E2 V3 M4). pale , not jaundiced, dehydrated, no pedal oedema. Temperature 38.9°C · HR 120 bpm, RR 22/min · SpO₂ 95% on room air · BP 80/60 mmHg  HS 1+2, no murmurs. Peripheral pulses weak. Respiratory: RR 22/min. Bilateral basal crepitations. Multiple sacral pressure ulcers","# Management Plan: Septic Shock Secondary to Infected Pressure Ulcers

## Immediate Resuscitation (First Hour)

**Airway/Breathing:**
- Administer supplemental oxygen via face mask (target SpO₂ ≥94%)
- Position patient at 30° head elevation
- Monitor respiratory rate closely; prepare for escalation if deteriorates

**Circulation:**
- Establish two large-bore IV access
- Aggressive fluid resuscitation: IV Normal Saline 500mL bolus over 15-30 minutes, reassess; target MAP ≥65mmHg
- Insert urinary catheter; monitor urine output hourly (target ≥0.5mL/kg/hr)
- If refractory to fluids, initiate vasopressors (Dopamine 5-20mcg/kg/min, as norepinephrine unavailable locally)

## Investigations
- FBC, blood glucose, electrolytes, urea, creatinine, LFTs
- Blood cultures ×2 (before antibiotics if possible)
- Wound swab for culture and sensitivity
- Urinalysis and urine culture
- Chest X-ray (bilateral crepitations—exclude aspiration pneumonia)
- ECG

## Sepsis Management
- Empirical broad-spectrum antibiotics immediately after cultures:
  - IV Ceftriaxone 2g daily + IV Metronidazole 500mg 8-hourly
  - Consider adding Gentamicin 5mg/kg once daily (monitor renal function)

## Wound Care
- Pressure ulcer assessment (staging)
- Regular wound cleaning and dressing
- Strict pressure area relief; reposition every 2 hours
- Surgical review for debridement if indicated

## Metabolic Management
- Check and correct blood glucose (hold metformin; use insulin sliding scale)
- Correct electrolyte imbalances
- Nutritional support: nasogastric feeding

## Monitoring & Documentation
- Hourly vitals and GCS monitoring
- Notify intensive care unit for possible step-up care
- Family counselling regarding prognosis",307,2026-06-02T23:21:15.169939,11.49,
R0010,P0038,M03,A,2,Claude-Sonnet,Teaching Hospital Oyo State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching Hospital Oyo State Nigeria which has IV fluids, antibiotics, ?dopamine,","An 80-year-old female is brought in by family members on account of reduced responsiveness of 2 days duration and decreased mobility over the past 2 years. Family reports she has been increasingly confused, and refusing to eat over the last 48 hours. They also note multiple wounds over her buttocks that have been present for approximately 3 months and are worsening. There is no history of trauma, seizures, or recent urinary tract symptoms. She is a known hypertensive and type 2 diabetic, previously on amlodipine, and metformin, but not regular. On examination: An elderly woman, cachectic, febrile,  unresponsive to commands GCS(9/15) (E2 V3 M4). pale , not jaundiced, dehydrated, no pedal oedema. Temperature 38.9°C · HR 120 bpm, RR 22/min · SpO₂ 95% on room air · BP 80/60 mmHg  HS 1+2, no murmurs. Peripheral pulses weak. Respiratory: RR 22/min. Bilateral basal crepitations. Multiple sacral pressure ulcers","# Management Plan: Septic Shock Secondary to Infected Pressure Ulcers

## Immediate Resuscitation (First Hour)

**Airway/Breathing:**
- Supplemental oxygen via face mask (target SpO₂ ≥94%)
- Elevate head of bed 30°
- Monitor respiratory status closely; prepare for escalation

**Circulation:**
- Establish **two large-bore IV access**
- Aggressive fluid resuscitation: **Normal Saline 500mL bolus** over 15-30 minutes, reassess BP/HR/urine output
- Repeat boluses (30mL/kg total) cautiously given bilateral basal crepitations (risk of fluid overload)
- Insert urinary catheter; target urine output ≥0.5mL/kg/hr
- If BP remains <90mmHg post-resuscitation → commence **Dopamine** infusion (5-10mcg/kg/min) if available

## Investigations
- FBC, BMP (electrolytes, creatinine, glucose), blood cultures ×2 **before antibiotics**
- Blood glucose (bedside), urinalysis
- Wound swab for culture
- Chest X-ray (pneumonia/aspiration)
- ECG

## Antimicrobial Therapy
- **Ceftriaxone 2g IV** once daily + **Metronidazole 500mg IV** 8-hourly (broad-spectrum coverage for polymicrobial wound sepsis)
- Review and de-escalate based on culture results

## Wound Care
- Pressure ulcer debridement and dressing (saline/honey-based)
- Strict pressure relief; reposition 2-hourly

## Metabolic Management
- Sliding scale insulin for hyperglycemia
- NG tube for nutritional support if swallowing unsafe
- Multivitamins/Zinc supplementation

## Monitoring
- Hourly vitals, GCS, urine output
- Repeat electrolytes, glucose 6-hourly
- Daily wound reassessment

## Family Communication
- Honest prognosis discussion; establish resuscitation goals",281,2026-06-02T23:21:28.277687,11.91,
