response_id,vignette_id,model,setting,scorer,note_text,failure_mode
R0085,M01,LLaMA-3-70B,A,A,O - IV fluids preferred and 4.5,
R0085,M01,LLaMA-3-70B,A,B,"O - Consider hydroxyurea, no limb x-ray reuested for differntials(It is a teaching hospital). What IV fluid?",
R0166,M01,LLaMA-3-70B,C,A,C- blood transfusion unlikely done in phc,
R0166,M01,LLaMA-3-70B,C,B,O - tramadol only opioid mentioned? Where went morphine and pentazocine?. Need for hematologist referral,
R0208,M01,Claude-Sonnet,C,A,"C - most drugs not available , labs not present, NS not preferred fluid",
R0208,M01,Claude-Sonnet,C,B,C - paracetamol as adjunct?,
R0255,M01,Gemini-Flash,A,B,O - IV fluids at least 1.5 maintenance,
R0292,M01,GPT-4o-mini,A,B,Oral morphine given usually instead of IV here.,
R0149,M02,Claude-Sonnet,B,A,"C- may not be available
C - morphine dangerous",
R0149,M02,Claude-Sonnet,B,B,C - morphine no longer routinely indicated. Isorbide dinitrate def not available. Investigations not all available,
R0191,M02,LLaMA-3-70B,A,A,O - needs high dose furosemide definitely,
R0191,M02,LLaMA-3-70B,A,B,"O - did not position patient,",
R0217,M02,GPT-4o-mini,C,A,"C - more immediate referral
C - no O2",
R0217,M02,GPT-4o-mini,C,B,C - non rebreather mask might be unavailable,
R0236,M02,Gemini-Flash,C,B,C - GTN unavailable,
R0057,M03,Gemini-Flash,A,A,C - sliding scale insulin? admission to ICU may not yet be warranted,
R0057,M03,Gemini-Flash,A,B,"C - siding scale insulin not routine, use debatable",
R0156,M03,LLaMA-3-70B,A,B,O - no inotropic support,
R0230,M03,GPT-4o-mini,C,B,C - piperacillin-tazobactam and insulin unavailable at PHC,
R0021,M04,LLaMA-3-70B,A,B,"O - vague fluid correction details, surgery not mentioned, basic investigation (abd USS) not mentioned",
R0211,M04,GPT-4o-mini,C,A,"O - labs not complete, not available in phc",
R0291,M04,GPT-4o-mini,B,A,O - abd uss or xray to investigate perforation,
R0291,M04,GPT-4o-mini,B,B,"C - unvailable investigations, no NPO",
R0173,M05,GPT-4o-mini,C,B,No oxygen. 'consider' referral,
R0008,M06,Gemini-Flash,B,B,O - no recommendations; C - unavailable investigation,
R0026,M07,LLaMA-3-70B,A,B,O - no IV dextrose?? no specifics on what to do for different blood glucose values,
R0078,M07,GPT-4o-mini,A,A,C - no dilution,
R0078,M07,GPT-4o-mini,A,B,C - Did not dilute glucose,
R0153,M07,Gemini-Flash,A,A,"C - no dilution
C - 20% dextrose is always readily available",
R0153,M07,Gemini-Flash,A,B,C - 50% dextrose not 20%,
R0160,M07,Claude-Sonnet,B,A,C - no dilution,
R0160,M07,Claude-Sonnet,B,B,C - Did not dilute glucose,
R0178,M07,LLaMA-3-70B,B,A,"O - may not be able to swallow, then what?",
R0170,M08,Claude-Sonnet,C,A,C - refer immediately,
R0229,M09,GPT-4o-mini,A,B,"C -No urgency, no isolation, no VHF protocol initiated",
R0012,M10,LLaMA-3-70B,C,B,"O,C",
R0128,M10,LLaMA-3-70B,A,B,"O - no EEG request, no RBS, electrolytes, or sepsis workup",
R0189,M10,Gemini-Flash,C,A,"O - temperature, ng tube",
R0234,M10,GPT-4o-mini,A,B,"C - Diazepam not mentioned, ""consider"" lumbar puncture?",
R0010,M11,Claude-Sonnet,A,B,C - Why mention labetalol Will crash BP,
R0210,M11,Gemini-Flash,C,B,C - nothing done for the hypertension,
R0232,M11,GPT-4o-mini,A,B,C - initiate anticoagulation before CT scan??,
R0256,M11,GPT-4o-mini,B,B,C - low target bp,
R0025,M12,Claude-Sonnet,B,A,O - consideration investigations may not be possible especially dialysis which may be necessary,
R0187,M12,LLaMA-3-70B,A,A,"C - TH is the at the top of capabilities, referring to where?",
R0223,M12,LLaMA-3-70B,B,A,O - consideration investigations may not be possible especially dialysis which may be necessary,
R0248,M12,GPT-4o-mini,C,A,C - investiagations and monitoring which wont be available in a PHC,
R0279,M12,Gemini-Flash,C,A,C - investiagations and monitoring which wont be available in a PHC,
R0074,M13,Gemini-Flash,B,A,"C - paracentesis is often not US guided
some investigations may not be available",
R0079,M13,LLaMA-3-70B,C,A,"O - earlier referral
C - non-available interventions",
R0141,M13,GPT-4o-mini,A,A,"O - paracentesis is vital in this mgt
C- refers at TH",
R0141,M13,GPT-4o-mini,A,B,O - no paracentesis,
R0108,M14,LLaMA-3-70B,A,A,O - could benefit from HbA1c and failed to mention the fluid giving regimen,
R0122,M14,Claude-Sonnet,A,A,"O - would need more fluid than that

C - labs are not usually repeated every 2 hrs",
R0136,M14,LLaMA-3-70B,C,B,PHC unlikely to have insulin,
R0080,M15,LLaMA-3-70B,C,A,"C - tourniquet is removed gradually
C - anti-venom is unlikely to be available in a PHC so would need to identify if likely venomous or non-venomous bite",
R0080,M15,LLaMA-3-70B,C,B,O - proper tourniquet removal technique not described C - PHC not likely to stock antivenom; refer immediately after immobilization and wound care,
R0150,M15,Claude-Sonnet,A,A,C - 20WBCT not routinely available,
R0150,M15,Claude-Sonnet,A,B,O - did not immobilize affected limb,
R0159,M15,Gemini-Flash,A,A,C - 20WBCT not routinely available,
R0168,M15,GPT-4o-mini,B,A,O - you want to refer in the absence of anti-venom not wait for signs of envenomation/swelling,
R0168,M15,GPT-4o-mini,B,B,"C - no antivenom, tournoquet not removed gradually",
R0239,M15,Claude-Sonnet,B,A,C - antivenom may not be available in GH,
R0240,M15,LLaMA-3-70B,B,A,"C - not immediate removal of tourniquet
, anti-venom may not be available,",
R0056,M16,Gemini-Flash,C,A,C - investigations not available,
R0209,M16,LLaMA-3-70B,A,A,C - wrong diagnosis and mgt,
R0209,M16,LLaMA-3-70B,A,B,C - failed to diagnose potts tb or even list as differential; no tb tests requested,
R0017,M17,Gemini-Flash,B,A,"O - NO TB screen
C - shouldn't consider cipro in the face of possible TB",
R0017,M17,Gemini-Flash,B,B,C - investigations,
R0111,M17,GPT-4o-mini,B,A,"O - NO TB screen
C - shouldn't consider cipro in the face of possible TB",
R0203,M17,LLaMA-3-70B,A,A,O - NO TB screen,
R0203,M17,LLaMA-3-70B,A,B,O - specific antiviral?,
R0251,M17,Claude-Sonnet,A,A,O - NO TB screen,
R0259,M17,GPT-4o-mini,A,A,O - NO TB screen,
R0259,M17,GPT-4o-mini,A,B,C - No TB test,
R0036,M18,GPT-4o-mini,C,B,C - wary about lumbar pucture performed in a PHC,
R0135,M18,LLaMA-3-70B,A,A,O - no blood culture,
R0020,M19,LLaMA-3-70B,A,B,O,
R0038,M19,Claude-Sonnet,C,A,C - no O2,
R0177,M19,GPT-4o-mini,C,A,O - upper gi endoscopy,
R0047,M20,Claude-Sonnet,B,A,C - investigations not all available,
R0050,M20,Gemini-Flash,C,A,C - investigations not all available,
R0106,M20,GPT-4o-mini,B,A,"O - mannitol, referral",
R0271,M20,LLaMA-3-70B,B,A,O - mannitol,
R0286,M20,Claude-Sonnet,C,A,C - investigations not all available,
R0220,M21,Gemini-Flash,A,B,C - clip within 24-48 hrs,
R0037,M22,GPT-4o-mini,C,A,O - abort with diazepam,
R0037,M22,GPT-4o-mini,C,B,O - Sodium valproate first line for generalized seizures. Not mentioned.,
R0040,M23,Gemini-Flash,C,A,"C - cant do medication and investigations in phc
O - fundoscopy",
R0040,M23,Gemini-Flash,C,B,O - no fundoscopy mentioned. Investigation suggestion at referral unavailable C - labetalol better for hypertensive emergencies,
R0007,O01,Gemini-Flash,B,B,"O - no uterine massage; C- both bolus and infusion of oxytocin are given, ICU in a general hospital?",
R0027,O02,LLaMA-3-70B,A,B,O - Positioning not mentioned. GXM in case of C/S. Inadequate info on how to control BP which is very important. No antidote mentioned for MgSO4 toxicity.,
R0039,O02,LLaMA-3-70B,A,B,O - prepared theatre but did not GXM,
R0009,O03,LLaMA-3-70B,C,B,O - no bed rest,
R0044,O09,Claude-Sonnet,B,B,O - some investigations may be unavailable,
R0035,O12,Gemini-Flash,A,B,"C - seting is tertiary hospital, obstetric team should be informed immediately.",
R0033,P01,Claude-Sonnet,B,A,"O - setting not condidered, tepid sponging possible",
R0033,P01,Claude-Sonnet,B,B,C - NPO not indicated. Give ORS/ feed as soon as tolerated.,
R0041,P02,Gemini-Flash,C,B,C - small infrequent feeds and not NPO,
R0265,P02,Claude-Sonnet,C,A,"C - suggests tx not available in the phc
mentions Anambra but no other indications of setting, dx a bit off",
R0043,P03,GPT-4o-mini,B,B,O - lumbar puncture may be unavailable,
R0075,P03,Gemini-Flash,B,A,"O - does not mention ampi and gent as the combination of choice, no phenobarb prophylaxis",
R0185,P03,LLaMA-3-70B,B,A,"O - does not mention ampi and gent as the combination of choice, no phenobarb prophylaxis",
R0238,P03,Gemini-Flash,C,A,"O - does not mention ampi and gent as the combination of choice, no phenobarb prophylaxis",
R0066,P04,Claude-Sonnet,C,A,"C - never heard of a bilirubinometer ,
O - no mention of EBT and the formula for calculating mgt choice",
R0066,P04,Claude-Sonnet,C,B,"C - unavailable investigations, fluids not accounted for",
R0115,P04,Gemini-Flash,C,A,O - no mention of EBT and the formula for calculating mgt choice,
R0115,P04,Gemini-Flash,C,B,"C - unavailable investigations, did not refer",
R0155,P05,Claude-Sonnet,A,A,O O,
R0200,P06,Claude-Sonnet,B,A,"C - can do back blows , assumes oxygen  present",
R0163,P07,Gemini-Flash,C,B,C - oxygen unavailable,
R0014,P08,GPT-4o-mini,B,A,C - heart failure but giving NS,
R0019,P08,Claude-Sonnet,C,A,"C- gent is 5mg/kg in 2 divided doses, oxygen is not present",
R0019,P08,Claude-Sonnet,C,B,O - there might not be O2 in PHC. No alternative provided,
R0096,P08,GPT-4o-mini,A,A,"C - heart failure but giving NS
O - no furosemide",
R0097,P08,LLaMA-3-70B,B,A,"C - pneumonia in heart failure should be primary dx, then the antibiotics are not first line for pneumonia (ampicillin, gentamycin) O -  give furosemide for the heart failure",
R0139,P08,Claude-Sonnet,C,A,"C - suggests stuff which may not be possible eg oxygen, benzpenicillin in a phc
C - the dosage is off for gent",
R0154,P08,LLaMA-3-70B,A,A,C - fluid in heart failure,
R0154,P08,LLaMA-3-70B,A,B,C - restrict fluids,
R0179,P08,Gemini-Flash,A,A,O - ceft is given in 2 divided doses,
R0001,P09,GPT-4o-mini,A,A,"O - is non specific about mgt , still asks do local guidelines when it is in the local, no urine rack in this pt",
R0001,P09,GPT-4o-mini,A,B,"O - does not state drug dosage, C - refer patient where?",
R0092,P09,GPT-4o-mini,A,A,"C - artesunate dose is not right for this child
it is actionable but safety is debatable",
R0113,P09,Gemini-Flash,A,A,"C - artesunate dose is not right for this child
it is actionable but safety is debatable",
R0113,P09,Gemini-Flash,A,B,C - artesunate dose,
R0119,P09,LLaMA-3-70B,B,A,"O - no specific doses, which fluid and how much
C - ACT for severe malaria",
R0119,P09,LLaMA-3-70B,B,B,C - did not give IV artesunate or other parenteral antimalarial,
R0216,P09,Gemini-Flash,C,A,C  - giving 2.4mg/kg of artesunate without confirming weight which could require 3mg/kg,
R0231,P09,LLaMA-3-70B,C,A,O - vagues about drugs route and dose,
R0231,P09,LLaMA-3-70B,C,B,C - did not give IV artesunate or other parenteral antimalarial,
R0243,P09,GPT-4o-mini,B,A,"O - things may or may not be available, no tepid sponging",
R0243,P09,GPT-4o-mini,B,B,O - no drug dose; C - unavailable investigations,
R0042,P11,Claude-Sonnet,B,A,C - hypoglycemia correction in SAM is 50mls of 10% dextrose,
R0023,P13,LLaMA-3-70B,B,B,"O - no treatment for heart failure, benthazine penicillin not readily available, no mention of procaine penicillin, no salicylates, no prednisolone. no longterm prophylaxis. Generally failed to make a dignosis of rheumatic heart disease",
R0003,P14,LLaMA-3-70B,B,A,"O- the fluid giving regimen, changing the fluid based on RBG",
R0003,P14,LLaMA-3-70B,B,B,O,
R0032,P14,LLaMA-3-70B,C,B,O - abscence of reference values for glucose monitoring,
R0249,P14,GPT-4o-mini,B,A,C- insulin isnt given as infusion but bolus per hour,
R0046,P16,Claude-Sonnet,A,A,O - no mention of setting plus ampiciilin sulbactam is preferred,
R0172,P16,Gemini-Flash,C,B,C - no oxygen,
R0258,P16,GPT-4o-mini,A,A,O - expressed bm through cup and spoon,
R0219,S01,GPT-4o-mini,C,A,"O - rule out ectopic, abd uss",
R0076,S02,LLaMA-3-70B,C,A,O - no decompression,
R0062,S03,Gemini-Flash,C,B,C - morphine might be unavailable at PHC,
R0090,S03,GPT-4o-mini,B,A,"O - no endotracheal intubation, preemptive o2 admin",
R0055,S04,LLaMA-3-70B,B,B,O - landmark for chest tube nsertion not stated,
R0065,S05,Gemini-Flash,C,B,C - requested fir investigations in a HC but referred for DRE?,
R0091,S05,LLaMA-3-70B,B,A,C - why admit,
R0125,S05,Claude-Sonnet,B,B,"C - SPC a theatre procedure, no specialist",
R0165,S05,Claude-Sonnet,A,A,"C - no need for these : - Secure IV access; obtain bloods: FBC, U&E/Creatinine, PSA, blood glucose, coagulation screen
- Urinalysis and urine M/C/S
- Bladder ultrasound to confirm retention and estimate volume",
R0186,S05,GPT-4o-mini,B,B,C - unavailable investigations,
R0034,S06,GPT-4o-mini,B,B,"O - no emphasis of agressive hydration, availability of phenylyephrine, hydroxyurea in secondary hospital questionable; epinephrine not given as alternative for phenylephrine",
R0073,S06,Claude-Sonnet,C,B,C - Etilefrine mayn not be readiliy available. Consider epinephrine,
R0077,S06,GPT-4o-mini,A,A,"O - aggressive hydration, IV epinephrine",
R0138,S06,Claude-Sonnet,A,A,"C - no need for aspirate, grouping and cross-match",
R0224,S06,Claude-Sonnet,B,A,"C - why oxygen, aggressive fluid rescus",
R0224,S06,Claude-Sonnet,B,B,C did not refer to urologist,
R0225,S06,GPT-4o-mini,C,A,O - IV fluid IS necessary,
R0013,S07,LLaMA-3-70B,B,A,"C - there may be no O2
O - no cttd",
