prompt_id,vignette_id,setting,condition,model,facility,block,primary,secondary,system_prompt,user_prompt
P0001,M01,A,1,GPT-4o-mini,Teaching hospital Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0002,M01,A,1,Claude-Sonnet,Teaching hospital Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0003,M01,A,1,Gemini-Flash,Teaching hospital Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0004,M01,A,1,LLaMA-3-70B,Teaching hospital Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0005,M01,B,1,GPT-4o-mini,"General hospital , Abia State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital , Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0006,M01,B,1,Claude-Sonnet,"General hospital , Abia State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital , Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0007,M01,B,1,Gemini-Flash,"General hospital , Abia State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital , Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0008,M01,B,1,LLaMA-3-70B,"General hospital , Abia State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital , Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0009,M01,C,1,GPT-4o-mini,Primary health care centre in Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary health care centre in Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0010,M01,C,1,Claude-Sonnet,Primary health care centre in Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary health care centre in Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0011,M01,C,1,Gemini-Flash,Primary health care centre in Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary health care centre in Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
P0012,M01,C,1,LLaMA-3-70B,Primary health care centre in Abia State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary health care centre in Abia State Nigeria.

A 14-year-old male, known sickle cell disease (HbSS) patient, presents at 11 pm on account of neck and bilateral limb pains of 6 hours duration. He rates the pain 8/10 in severity. There is no history of fever, cough, chest pain, difficulty breathing, or priapism. He has not been covering well at night and acceeds to being exposed to cold. He has had two similar episodes in the past year. Not currently on his regular medications as they have finished. His last blood transfusion was 1 year ago. On examination: An adolescent in painful distress, afebrile, Pale, jaundiced, not dehydrated, no pedal oedema. HR 108 bpm, regular · RR 18/min · SpO₂ 98% on room air · BP 110/70 mmHg, Chest clinically clear,  Liver palpable 3 cm below the right costal margin, firm, non-tender. Spleen not palpable. No ascites. Diffuse tenderness over bilateral upper and lower limbs; no joint swelling or warmth"
